n,time1,time2,time3,time4,time5,time6,inplace,extramemory
405,0.229804,0.138278,0.232512,0.208278,0.20868,0.141165,0.000275,0.000352
410,0.239206,0.14319,0.243028,0.216491,0.21726,0.147327,0.000302,0.00039
410,0.239103,0.143467,0.242313,0.217836,0.217905,0.147337,0.000285,0.000363
415,0.24784,0.148476,0.254079,0.226441,0.225154,0.150847,0.000307,0.00038
415,0.247935,0.148558,0.25684,0.226498,0.224671,0.151366,0.000264,0.000343
420,0.257413,0.153956,0.262688,0.235632,0.233632,0.157591,0.000314,0.000395
420,0.256846,0.153514,0.260582,0.236565,0.234564,0.157353,0.000295,0.00039
425,0.267452,0.159979,0.272226,0.24308,0.242634,0.163085,0.000298,0.00041
425,0.267109,0.159983,0.270436,0.242302,0.241802,0.163026,0.000301,0.000418
430,0.276662,0.165426,0.281502,0.252664,0.250821,0.16843,0.000313,0.000407
430,0.277127,0.165338,0.28075,0.250517,0.251661,0.168763,0.00032,0.000374
435,0.286261,0.17107,0.289741,0.260397,0.25811,0.175037,0.00034,0.000431
435,0.28492,0.170528,0.291091,0.259613,0.260928,0.175472,0.000291,0.000376
440,0.296172,0.176719,0.300333,0.27015,0.268648,0.180882,0.00032,0.000443
440,0.295874,0.176625,0.300746,0.271006,0.267151,0.181126,0.000338,0.000442
445,0.306603,0.182557,0.309891,0.280684,0.276025,0.186794,0.000339,0.000439
445,0.306224,0.183568,0.311808,0.277805,0.278078,0.186702,0.000341,0.000455
450,0.322832,0.189708,0.331398,0.290932,0.288758,0.193549,0.000377,0.000639
450,0.322602,0.189068,0.325789,0.288515,0.288559,0.194113,0.000361,0.000617
455,0.332801,0.195226,0.339494,0.300116,0.297339,0.199429,0.000357,0.000548
455,0.333154,0.194944,0.336489,0.299501,0.295968,0.199991,0.000413,0.000612
460,0.344499,0.202621,0.349016,0.31018,0.306175,0.20755,0.000415,0.00057
460,0.344028,0.202094,0.351183,0.309277,0.307607,0.207466,0.000443,0.000602
465,0.355527,0.208908,0.361742,0.321028,0.316662,0.214024,0.000412,0.000655
465,0.355416,0.208894,0.361135,0.319177,0.316254,0.21399,0.000403,0.000615
470,0.366949,0.215828,0.372317,0.331245,0.326817,0.219565,0.000411,0.000605
470,0.36673,0.215239,0.374378,0.329252,0.326432,0.220195,0.000412,0.000655
475,0.378693,0.222803,0.38481,0.340432,0.339408,0.227514,0.000447,0.000649
475,0.378669,0.222717,0.383021,0.340893,0.337684,0.228222,0.000416,0.000607
480,0.390785,0.229557,0.396683,0.349383,0.349259,0.235012,0.000542,0.000556
480,0.392281,0.229545,0.397175,0.352385,0.348692,0.235427,0.000384,0.000612
485,0.403499,0.248005,0.411269,0.363786,0.360163,0.241737,0.000485,0.000732
485,0.405179,0.236532,0.409634,0.365414,0.357925,0.243041,0.000426,0.000669
490,0.41651,0.244098,0.422752,0.372101,0.370318,0.250272,0.000454,0.00072
490,0.416479,0.244256,0.423555,0.373387,0.371128,0.249957,0.000444,0.000724
495,0.428715,0.250929,0.435144,0.384891,0.383787,0.256838,0.000455,0.000676
495,0.42889,0.251493,0.435927,0.382937,0.382114,0.257581,0.00048,0.000685
500,0.442382,0.259201,0.449706,0.397772,0.393906,0.265161,0.000458,0.00071
500,0.443032,0.258357,0.448981,0.396428,0.394682,0.265118,0.000488,0.000704
505,0.474925,0.269251,0.461751,0.409562,0.407078,0.274163,0.000514,0.00075
505,0.456867,0.267165,0.468928,0.409633,0.40901,0.275549,0.000491,0.000751
510,0.484433,0.27502,0.48134,0.439765,0.423248,0.280201,0.000499,0.00069
510,0.47136,0.275642,0.478136,0.421596,0.419324,0.281661,0.000501,0.000665
515,0.474648,0.282923,0.489576,0.44228,0.437821,0.29168,0.000499,0.000578
515,0.475302,0.282947,0.485029,0.436558,0.435698,0.290373,0.000505,0.000574
520,0.491017,0.291824,0.500997,0.449794,0.450199,0.29896,0.000478,0.000576
520,0.490538,0.292461,0.508749,0.456018,0.451551,0.298758,0.000487,0.00057
525,0.506231,0.316902,0.522373,0.472527,0.465575,0.310218,0.000497,0.00059
525,0.509401,0.302053,0.516431,0.464385,0.462457,0.309056,0.000518,0.000584
530,0.518201,0.30866,0.530037,0.478338,0.476175,0.31714,0.000539,0.000606
530,0.517742,0.309155,0.531971,0.4765,0.474503,0.316801,0.000487,0.000574
535,0.532668,0.318713,0.544682,0.49084,0.490995,0.324888,0.00046,0.000571
535,0.532653,0.317636,0.543288,0.491182,0.489078,0.324355,0.000533,0.000604
540,0.548907,0.325687,0.559844,0.505028,0.500628,0.33564,0.00057,0.000636
540,0.548249,0.32612,0.564457,0.50521,0.501973,0.33419,0.000549,0.000615
545,0.563782,0.335536,0.574277,0.517126,0.518816,0.342391,0.000521,0.000627
545,0.564038,0.335734,0.576032,0.517129,0.514968,0.344119,0.000532,0.000627
550,0.578111,0.344607,0.589732,0.532222,0.533858,0.352077,0.000588,0.000648
550,0.579489,0.345138,0.595302,0.533605,0.5332,0.352398,0.000521,0.00061
555,0.595172,0.354547,0.607282,0.547336,0.544075,0.363984,0.000599,0.000655
555,0.594522,0.354722,0.609013,0.546931,0.543943,0.36347,0.000607,0.000672
560,0.611742,0.36378,0.627088,0.562179,0.56332,0.373231,0.000588,0.000662
560,0.611833,0.363407,0.632008,0.563064,0.564084,0.372319,0.000554,0.000667
565,0.629398,0.374562,0.642313,0.578635,0.578443,0.384401,0.000645,0.000772
565,0.627461,0.373028,0.640103,0.579676,0.577768,0.383691,0.000534,0.000638
570,0.645202,0.384135,0.660749,0.594803,0.594818,0.393136,0.00057,0.000675
570,0.646361,0.384117,0.657554,0.595004,0.592542,0.394102,0.000603,0.000687
575,0.664353,0.3931,0.682132,0.610667,0.607788,0.404287,0.000629,0.000708
575,0.666667,0.395535,0.6774,0.609661,0.607539,0.404131,0.000575,0.00069
580,0.681566,0.402648,0.694337,0.617929,0.613586,0.415363,0.000617,0.0007
580,0.681582,0.405467,0.69501,0.616914,0.614995,0.415041,0.000625,0.000797
585,0.699552,0.417087,0.711351,0.631715,0.63071,0.426164,0.000647,0.000712
585,0.698436,0.415507,0.716472,0.632662,0.632245,0.4271,0.000643,0.000729
590,0.719132,0.425132,0.731303,0.646771,0.64577,0.435667,0.000682,0.000752
590,0.717956,0.425217,0.737467,0.647584,0.648039,0.435999,0.00064,0.000716
595,0.735437,0.437081,0.753613,0.679624,0.676181,0.447759,0.00066,0.000736
595,0.735553,0.435509,0.748803,0.66266,0.659802,0.448337,0.000655,0.000714
600,0.755874,0.448286,0.76493,0.676802,0.676745,0.459932,0.000671,0.000752
600,0.76648,0.447906,0.771347,0.681218,0.680636,0.459891,0.000669,0.000741
605,0.777231,0.461695,0.78965,0.692252,0.698788,0.473803,0.000683,0.00075
605,0.773265,0.458257,0.787619,0.694011,0.692446,0.471405,0.000682,0.000749
610,0.79225,0.470547,0.809517,0.708326,0.713508,0.481492,0.000665,0.000752
610,0.79211,0.471308,0.808419,0.712875,0.711083,0.483011,0.000678,0.000771
615,0.813337,0.481858,0.83496,0.73186,0.726207,0.492084,0.000738,0.000813
615,0.812713,0.481778,0.826541,0.72624,0.727028,0.49432,0.000694,0.000777
620,0.837876,0.494298,0.849733,0.743083,0.745225,0.508722,0.000702,0.000784
620,0.829809,0.493101,0.852431,0.745904,0.74273,0.508676,0.000696,0.000774
625,0.854428,0.505439,0.875539,0.763086,0.759151,0.519811,0.000646,0.000762
625,0.854259,0.505447,0.868016,0.759134,0.763186,0.520068,0.000708,0.000792
630,0.871343,0.517777,0.884132,0.779058,0.777325,0.530245,0.000739,0.000791
630,0.872742,0.519106,0.893097,0.778547,0.782288,0.53027,0.000715,0.000792
635,0.893692,0.530372,0.908094,0.793433,0.792133,0.544443,0.00072,0.000801
635,0.894922,0.530805,0.910115,0.802469,0.796849,0.544359,0.000756,0.000842
640,0.915346,0.543045,0.934621,0.81469,0.809879,0.557333,0.000774,0.000866
640,0.914475,0.542559,0.933021,0.81387,0.813088,0.558351,0.000715,0.00081
645,0.935132,0.55687,0.960933,0.867264,0.864717,0.572905,0.000819,0.000868
645,0.934478,0.555618,0.956028,0.867391,0.870297,0.569278,0.000754,0.000841
